run_id,run_short_name,namespace,step,forgotten_classes,new_class_id,new_class,focus_class_id,focus_class,focus_accuracy,forget_accuracy,retain_accuracy,full_test_accuracy,eval_available
vehicles1_official_seed1_k5,bicycle -> vehicles1,sequential_single_coarse_rebound_cifar100,1,8,8,腳踏車 / bicycle (8),8,腳踏車 / bicycle (8),0.0,0.0,69.85858585858585,69.16,True
vehicles1_official_seed1_k5,bicycle -> vehicles1,sequential_single_coarse_rebound_cifar100,2,"8,13",13,公車 / bus (13),8,腳踏車 / bicycle (8),22.0,11.0,70.35714285714286,69.17,True
vehicles1_official_seed1_k5,bicycle -> vehicles1,sequential_single_coarse_rebound_cifar100,3,"8,13,48",48,摩托車 / motorcycle (48),8,腳踏車 / bicycle (8),29.0,9.666666666666666,70.12371134020619,68.31,True
vehicles1_official_seed1_k5,bicycle -> vehicles1,sequential_single_coarse_rebound_cifar100,4,"8,13,48,58",58,皮卡車 / pickup_truck (58),8,腳踏車 / bicycle (8),41.0,10.25,70.28125,67.88,True
vehicles1_official_seed1_k5,bicycle -> vehicles1,sequential_single_coarse_rebound_cifar100,5,"8,13,48,58,90",90,火車 / train (90),8,腳踏車 / bicycle (8),43.0,8.6,70.10526315789474,67.03,True
bicycle_then_flowers_seed1_k5,bicycle -> flowers,sequential_vehicle_rebound_cause_probe_cifar100,1,8,8,腳踏車 / bicycle (8),8,腳踏車 / bicycle (8),0.0,0.0,69.85858585858585,69.16,True
bicycle_then_flowers_seed1_k5,bicycle -> flowers,sequential_vehicle_rebound_cause_probe_cifar100,2,"8,54",54,蘭花 / orchid (54),8,腳踏車 / bicycle (8),36.0,18.0,70.06122448979592,69.02,True
bicycle_then_flowers_seed1_k5,bicycle -> flowers,sequential_vehicle_rebound_cause_probe_cifar100,3,"8,54,62",62,罌粟花 / poppy (62),8,腳踏車 / bicycle (8),26.0,8.666666666666666,70.29896907216495,68.45,True
bicycle_then_flowers_seed1_k5,bicycle -> flowers,sequential_vehicle_rebound_cause_probe_cifar100,4,"8,54,62,70",70,玫瑰 / rose (70),8,腳踏車 / bicycle (8),36.0,9.0,70.36458333333333,67.91,True
bicycle_then_flowers_seed1_k5,bicycle -> flowers,sequential_vehicle_rebound_cause_probe_cifar100,5,"8,54,62,70,82",82,向日葵 / sunflower (82),8,腳踏車 / bicycle (8),36.0,7.2,70.32631578947368,67.17,True
bicycle_then_vehicles2_seed1_k5,bicycle -> vehicles2,sequential_vehicle_rebound_cause_probe_cifar100,1,8,8,腳踏車 / bicycle (8),8,腳踏車 / bicycle (8),0.0,0.0,69.85858585858585,69.16,True
bicycle_then_vehicles2_seed1_k5,bicycle -> vehicles2,sequential_vehicle_rebound_cause_probe_cifar100,2,"8,41",41,割草機 / lawn_mower (41),8,腳踏車 / bicycle (8),18.0,9.0,69.96938775510205,68.75,True
bicycle_then_vehicles2_seed1_k5,bicycle -> vehicles2,sequential_vehicle_rebound_cause_probe_cifar100,3,"8,41,69",69,火箭 / rocket (69),8,腳踏車 / bicycle (8),16.0,5.333333333333333,70.18556701030928,68.24,True
bicycle_then_vehicles2_seed1_k5,bicycle -> vehicles2,sequential_vehicle_rebound_cause_probe_cifar100,4,"8,41,69,81",81,路面電車 / streetcar (81),8,腳踏車 / bicycle (8),22.0,5.5,70.03125,67.45,True
bicycle_then_vehicles2_seed1_k5,bicycle -> vehicles2,sequential_vehicle_rebound_cause_probe_cifar100,5,"8,41,69,81,89",89,拖拉機 / tractor (89),8,腳踏車 / bicycle (8),27.0,5.4,69.87368421052632,66.65,True
