group,group_zh,order_type,run_id,step,new_class_id,new_class,class_id,class_name,class_label,accuracy,is_forgotten_so_far,is_newly_forgotten,is_target_class
large_omnivores_and_herbivores,大型雜食/草食動物,official,large_omni_official_seed1_k5,1,15,駱駝 / camel (15),0,apple,apple (0),87.0,False,False,False
large_omnivores_and_herbivores,大型雜食/草食動物,official,large_omni_official_seed1_k5,1,15,駱駝 / camel (15),1,aquarium_fish,aquarium_fish (1),79.0,False,False,False
large_omnivores_and_herbivores,大型雜食/草食動物,official,large_omni_official_seed1_k5,1,15,駱駝 / camel (15),2,baby,baby (2),57.0,False,False,False
large_omnivores_and_herbivores,大型雜食/草食動物,official,large_omni_official_seed1_k5,1,15,駱駝 / camel (15),3,bear,bear (3),50.0,False,False,False
large_omnivores_and_herbivores,大型雜食/草食動物,official,large_omni_official_seed1_k5,1,15,駱駝 / camel (15),4,beaver,beaver (4),52.0,False,False,False
large_omnivores_and_herbivores,大型雜食/草食動物,official,large_omni_official_seed1_k5,1,15,駱駝 / camel (15),5,bed,bed (5),67.0,False,False,False
large_omnivores_and_herbivores,大型雜食/草食動物,official,large_omni_official_seed1_k5,1,15,駱駝 / camel (15),6,bee,bee (6),74.0,False,False,False
large_omnivores_and_herbivores,大型雜食/草食動物,official,large_omni_official_seed1_k5,1,15,駱駝 / camel (15),7,beetle,beetle (7),77.0,False,False,False
large_omnivores_and_herbivores,大型雜食/草食動物,official,large_omni_official_seed1_k5,1,15,駱駝 / camel (15),8,bicycle,腳踏車 / bicycle (8),82.0,False,False,False
large_omnivores_and_herbivores,大型雜食/草食動物,official,large_omni_official_seed1_k5,1,15,駱駝 / camel (15),9,bottle,bottle (9),80.0,False,False,False
large_omnivores_and_herbivores,大型雜食/草食動物,official,large_omni_official_seed1_k5,1,15,駱駝 / camel (15),10,bowl,bowl (10),44.0,False,False,False
large_omnivores_and_herbivores,大型雜食/草食動物,official,large_omni_official_seed1_k5,1,15,駱駝 / camel (15),11,boy,boy (11),46.0,False,False,False
large_omnivores_and_herbivores,大型雜食/草食動物,official,large_omni_official_seed1_k5,1,15,駱駝 / camel (15),12,bridge,bridge (12),79.0,False,False,False
