group,group_zh,order_type,run_id,step,new_class_id,new_class,forgotten_classes,forget_accuracy,UA,retain_accuracy,full_test_accuracy,class_0_accuracy,class_1_accuracy,class_2_accuracy,class_3_accuracy,class_4_accuracy,class_5_accuracy,class_6_accuracy,class_7_accuracy,class_8_accuracy,class_9_accuracy,class_10_accuracy,class_11_accuracy,class_12_accuracy,class_13_accuracy,class_14_accuracy,class_15_accuracy,class_16_accuracy,class_17_accuracy,class_18_accuracy,class_19_accuracy,class_20_accuracy,class_21_accuracy,class_22_accuracy,class_23_accuracy,class_24_accuracy,class_25_accuracy,class_26_accuracy,class_27_accuracy,class_28_accuracy,class_29_accuracy,class_30_accuracy,class_31_accuracy,class_32_accuracy,class_33_accuracy,class_34_accuracy,class_35_accuracy,class_36_accuracy,class_37_accuracy,class_38_accuracy,class_39_accuracy,class_40_accuracy,class_41_accuracy,class_42_accuracy,class_43_accuracy,class_44_accuracy,class_45_accuracy,class_46_accuracy,class_47_accuracy,class_48_accuracy,class_49_accuracy,class_50_accuracy,class_51_accuracy,class_52_accuracy,class_53_accuracy,class_54_accuracy,class_55_accuracy,class_56_accuracy,class_57_accuracy,class_58_accuracy,class_59_accuracy,class_60_accuracy,class_61_accuracy,class_62_accuracy,class_63_accuracy,class_64_accuracy,class_65_accuracy,class_66_accuracy,class_67_accuracy,class_68_accuracy,class_69_accuracy,class_70_accuracy,class_71_accuracy,class_72_accuracy,class_73_accuracy,class_74_accuracy,class_75_accuracy,class_76_accuracy,class_77_accuracy,class_78_accuracy,class_79_accuracy,class_80_accuracy,class_81_accuracy,class_82_accuracy,class_83_accuracy,class_84_accuracy,class_85_accuracy,class_86_accuracy,class_87_accuracy,class_88_accuracy,class_89_accuracy,class_90_accuracy,class_91_accuracy,class_92_accuracy,class_93_accuracy,class_94_accuracy,class_95_accuracy,class_96_accuracy,class_97_accuracy,class_98_accuracy,class_99_accuracy
large_omnivores_and_herbivores,大型雜食/草食動物,official,large_omni_official_seed1_k5,1,15,駱駝 / camel (15),15,0.0,100.0,69.8080808080808,69.11,87.0,79.0,57.0,50.0,52.0,67.0,74.0,77.0,82.0,80.0,44.0,46.0,79.0,67.0,55.0,0.0,79.0,78.0,61.0,67.0,86.0,85.0,66.0,81.0,79.0,56.0,61.0,53.0,74.0,61.0,67.0,65.0,63.0,58.0,73.0,49.0,81.0,80.0,64.0,79.0,60.0,87.0,73.0,84.0,48.0,63.0,44.0,67.0,93.0,83.0,53.0,71.0,65.0,88.0,81.0,39.0,85.0,77.0,85.0,71.0,86.0,65.0,82.0,72.0,54.0,59.0,77.0,56.0,94.0,79.0,71.0,78.0,41.0,56.0,49.0,92.0,89.0,64.0,61.0,72.0,54.0,75.0,92.0,65.0,66.0,71.0,68.0,77.0,79.0,84.0,84.0,77.0,61.0,55.0,92.0,73.0,62.0,74.0,53.0,73.0
large_omnivores_and_herbivores,大型雜食/草食動物,official,large_omni_official_seed1_k5,2,19,牛 / cattle (19),"15,19",0.0,100.0,70.37755102040816,68.97,88.0,79.0,57.0,53.0,62.0,65.0,76.0,75.0,79.0,76.0,45.0,47.0,80.0,65.0,56.0,0.0,77.0,83.0,64.0,0.0,86.0,87.0,66.0,81.0,82.0,60.0,62.0,53.0,75.0,65.0,71.0,70.0,60.0,60.0,74.0,50.0,82.0,78.0,65.0,78.0,62.0,86.0,76.0,83.0,47.0,62.0,49.0,64.0,91.0,80.0,54.0,72.0,66.0,89.0,82.0,44.0,86.0,76.0,84.0,72.0,87.0,66.0,81.0,72.0,50.0,55.0,80.0,57.0,94.0,79.0,71.0,80.0,41.0,59.0,51.0,86.0,88.0,64.0,62.0,75.0,53.0,73.0,92.0,69.0,70.0,70.0,67.0,79.0,76.0,85.0,86.0,77.0,63.0,56.0,91.0,72.0,65.0,74.0,53.0,71.0
large_omnivores_and_herbivores,大型雜食/草食動物,official,large_omni_official_seed1_k5,3,21,黑猩猩 / chimpanzee (21),"15,19,21",0.0,100.0,70.48453608247422,68.37,89.0,79.0,59.0,48.0,56.0,69.0,79.0,74.0,83.0,78.0,48.0,48.0,79.0,67.0,57.0,0.0,77.0,78.0,63.0,0.0,86.0,0.0,65.0,81.0,81.0,56.0,65.0,58.0,73.0,71.0,69.0,69.0,64.0,59.0,74.0,46.0,83.0,78.0,59.0,77.0,64.0,90.0,76.0,87.0,47.0,67.0,47.0,60.0,92.0,82.0,57.0,69.0,68.0,88.0,83.0,43.0,88.0,78.0,85.0,68.0,86.0,69.0,82.0,73.0,50.0,59.0,80.0,58.0,94.0,79.0,71.0,81.0,39.0,59.0,51.0,89.0,89.0,66.0,64.0,71.0,56.0,71.0,91.0,70.0,70.0,72.0,69.0,78.0,77.0,83.0,83.0,75.0,60.0,57.0,90.0,73.0,65.0,75.0,57.0,71.0
large_omnivores_and_herbivores,大型雜食/草食動物,official,large_omni_official_seed1_k5,4,31,大象 / elephant (31),"15,19,21,31",0.0,100.0,70.22916666666667,67.42,87.0,79.0,56.0,55.0,56.0,71.0,81.0,74.0,83.0,77.0,48.0,46.0,79.0,68.0,56.0,0.0,77.0,80.0,68.0,0.0,85.0,0.0,67.0,79.0,80.0,58.0,62.0,54.0,73.0,67.0,69.0,0.0,62.0,58.0,74.0,46.0,81.0,76.0,64.0,78.0,62.0,89.0,75.0,86.0,42.0,67.0,48.0,63.0,93.0,85.0,52.0,73.0,66.0,90.0,82.0,42.0,85.0,78.0,85.0,69.0,84.0,66.0,82.0,70.0,56.0,59.0,81.0,55.0,94.0,80.0,69.0,80.0,45.0,58.0,50.0,90.0,87.0,63.0,63.0,70.0,57.0,72.0,92.0,68.0,68.0,71.0,67.0,77.0,76.0,84.0,81.0,79.0,59.0,55.0,92.0,74.0,63.0,75.0,53.0,71.0
large_omnivores_and_herbivores,大型雜食/草食動物,official,large_omni_official_seed1_k5,5,38,袋鼠 / kangaroo (38),"15,19,21,31,38",0.2,99.8,70.5578947368421,67.04,88.0,82.0,56.0,57.0,60.0,71.0,80.0,73.0,82.0,77.0,42.0,52.0,80.0,70.0,55.0,0.0,76.0,81.0,67.0,0.0,86.0,1.0,67.0,81.0,80.0,56.0,63.0,53.0,75.0,62.0,70.0,0.0,62.0,63.0,80.0,47.0,83.0,77.0,0.0,80.0,61.0,87.0,70.0,84.0,42.0,66.0,49.0,61.0,93.0,84.0,54.0,72.0,66.0,89.0,82.0,47.0,89.0,76.0,86.0,71.0,87.0,64.0,82.0,73.0,52.0,56.0,82.0,56.0,94.0,77.0,70.0,77.0,44.0,60.0,50.0,90.0,87.0,66.0,65.0,75.0,54.0,74.0,92.0,66.0,67.0,72.0,67.0,79.0,81.0,85.0,82.0,78.0,61.0,54.0,89.0,71.0,62.0,73.0,54.0,72.0
large_omnivores_and_herbivores,大型雜食/草食動物,random,large_omni_random_seed1_k5,1,21,黑猩猩 / chimpanzee (21),21,0.0,100.0,70.12121212121212,69.42,88.0,79.0,53.0,48.0,53.0,69.0,80.0,77.0,82.0,82.0,48.0,46.0,78.0,65.0,54.0,72.0,79.0,82.0,66.0,65.0,85.0,0.0,64.0,80.0,81.0,55.0,64.0,55.0,75.0,67.0,68.0,66.0,63.0,60.0,75.0,46.0,82.0,79.0,60.0,81.0,64.0,88.0,73.0,84.0,47.0,68.0,44.0,66.0,93.0,83.0,54.0,67.0,67.0,90.0,82.0,43.0,88.0,77.0,86.0,70.0,86.0,68.0,80.0,69.0,50.0,58.0,80.0,55.0,93.0,81.0,73.0,78.0,41.0,57.0,48.0,90.0,89.0,64.0,61.0,71.0,55.0,75.0,90.0,67.0,70.0,71.0,70.0,78.0,79.0,82.0,84.0,78.0,61.0,57.0,90.0,74.0,64.0,75.0,52.0,72.0
large_omnivores_and_herbivores,大型雜食/草食動物,random,large_omni_random_seed1_k5,2,15,駱駝 / camel (15),"21,15",0.5,99.5,69.93877551020408,68.55,87.0,79.0,54.0,50.0,53.0,64.0,76.0,74.0,83.0,77.0,46.0,46.0,80.0,68.0,58.0,0.0,78.0,78.0,64.0,67.0,86.0,1.0,66.0,81.0,78.0,58.0,66.0,51.0,75.0,64.0,68.0,69.0,62.0,57.0,73.0,50.0,82.0,79.0,65.0,77.0,60.0,88.0,73.0,85.0,47.0,63.0,46.0,66.0,95.0,83.0,52.0,68.0,65.0,89.0,82.0,40.0,88.0,78.0,87.0,70.0,86.0,67.0,81.0,70.0,53.0,62.0,78.0,58.0,94.0,79.0,72.0,77.0,44.0,54.0,48.0,93.0,89.0,65.0,61.0,73.0,51.0,72.0,92.0,66.0,66.0,73.0,69.0,79.0,77.0,85.0,81.0,78.0,60.0,59.0,91.0,73.0,64.0,77.0,52.0,71.0
large_omnivores_and_herbivores,大型雜食/草食動物,random,large_omni_random_seed1_k5,3,38,袋鼠 / kangaroo (38),"21,15,38",1.0,99.0,70.18556701030928,68.11,89.0,83.0,50.0,51.0,62.0,68.0,79.0,76.0,80.0,79.0,44.0,52.0,81.0,63.0,56.0,0.0,79.0,82.0,67.0,67.0,86.0,3.0,68.0,80.0,80.0,53.0,65.0,53.0,75.0,64.0,70.0,65.0,65.0,58.0,76.0,46.0,81.0,81.0,0.0,79.0,62.0,86.0,68.0,84.0,40.0,62.0,46.0,66.0,94.0,83.0,49.0,71.0,67.0,90.0,84.0,43.0,88.0,78.0,85.0,72.0,86.0,67.0,82.0,68.0,50.0,59.0,80.0,56.0,94.0,81.0,69.0,77.0,44.0,55.0,47.0,92.0,89.0,66.0,61.0,70.0,54.0,75.0,93.0,70.0,68.0,74.0,68.0,79.0,79.0,84.0,81.0,80.0,63.0,57.0,90.0,74.0,57.0,74.0,53.0,71.0
large_omnivores_and_herbivores,大型雜食/草食動物,random,large_omni_random_seed1_k5,4,19,牛 / cattle (19),"21,15,38,19",1.0,99.0,70.57291666666667,67.79,87.0,79.0,55.0,50.0,61.0,71.0,76.0,77.0,81.0,78.0,45.0,48.0,81.0,66.0,53.0,0.0,77.0,81.0,67.0,0.0,86.0,4.0,67.0,81.0,78.0,59.0,65.0,56.0,76.0,65.0,72.0,74.0,62.0,63.0,79.0,48.0,81.0,80.0,0.0,79.0,63.0,88.0,75.0,83.0,49.0,64.0,50.0,63.0,93.0,84.0,52.0,69.0,66.0,89.0,82.0,47.0,87.0,77.0,87.0,70.0,86.0,68.0,83.0,72.0,52.0,59.0,79.0,55.0,94.0,79.0,70.0,77.0,45.0,58.0,50.0,89.0,87.0,63.0,63.0,75.0,54.0,72.0,92.0,68.0,69.0,71.0,67.0,77.0,77.0,85.0,84.0,78.0,60.0,55.0,89.0,74.0,63.0,74.0,51.0,69.0
large_omnivores_and_herbivores,大型雜食/草食動物,random,large_omni_random_seed1_k5,5,31,大象 / elephant (31),"21,15,38,19,31",0.6,99.4,70.52631578947368,67.03,88.0,82.0,52.0,60.0,62.0,72.0,81.0,76.0,82.0,74.0,42.0,50.0,81.0,67.0,54.0,0.0,76.0,82.0,68.0,0.0,86.0,3.0,67.0,80.0,84.0,57.0,62.0,51.0,71.0,69.0,68.0,0.0,64.0,62.0,80.0,49.0,81.0,76.0,0.0,78.0,63.0,88.0,75.0,85.0,41.0,66.0,45.0,62.0,95.0,84.0,53.0,68.0,66.0,91.0,83.0,41.0,86.0,77.0,86.0,69.0,86.0,68.0,83.0,70.0,53.0,61.0,78.0,56.0,93.0,78.0,68.0,79.0,44.0,54.0,51.0,91.0,88.0,65.0,63.0,70.0,58.0,70.0,92.0,67.0,67.0,71.0,68.0,78.0,75.0,85.0,83.0,78.0,61.0,56.0,90.0,76.0,65.0,78.0,52.0,73.0
