run_id,order_type,step,new_class_id,new_class,forgotten_classes,class_8_accuracy,class_13_accuracy,class_48_accuracy,class_58_accuracy,class_90_accuracy,class_23_accuracy,class_33_accuracy,class_49_accuracy,class_60_accuracy,class_71_accuracy,class_15_accuracy,class_19_accuracy,class_21_accuracy,class_31_accuracy,class_38_accuracy,class_12_accuracy,class_17_accuracy,class_37_accuracy,class_68_accuracy,class_76_accuracy,vehicles_1_avg_accuracy,large_natural_outdoor_scenes_avg_accuracy,large_omni_avg_accuracy,man_made_outdoor_avg_accuracy
four_coarse_clustered_seed1_k20,clustered,1,8,腳踏車 / bicycle (8),8,0.0,66.0,91.0,86.0,82.0,81.0,60.0,83.0,86.0,78.0,76.0,65.0,85.0,65.0,62.0,79.0,80.0,76.0,94.0,90.0,65.0,77.6,70.6,83.8
four_coarse_clustered_seed1_k20,clustered,2,13,公車 / bus (13),"8,13",22.0,0.0,93.0,90.0,81.0,82.0,60.0,84.0,88.0,79.0,76.0,64.0,85.0,65.0,64.0,77.0,81.0,79.0,92.0,89.0,57.2,78.6,70.8,83.6
four_coarse_clustered_seed1_k20,clustered,3,48,摩托車 / motorcycle (48),"8,13,48",29.0,0.0,0.0,88.0,84.0,81.0,61.0,84.0,86.0,78.0,75.0,60.0,87.0,67.0,64.0,76.0,83.0,80.0,92.0,89.0,40.2,78.0,70.6,84.0
four_coarse_clustered_seed1_k20,clustered,4,58,皮卡車 / pickup_truck (58),"8,13,48,58",41.0,0.0,0.0,0.0,84.0,82.0,62.0,85.0,85.0,80.0,74.0,64.0,85.0,67.0,64.0,78.0,84.0,79.0,92.0,89.0,25.0,78.8,70.8,84.4
four_coarse_clustered_seed1_k20,clustered,5,90,火車 / train (90),"8,13,48,58,90",43.0,0.0,0.0,0.0,0.0,82.0,63.0,84.0,86.0,80.0,72.0,65.0,84.0,68.0,63.0,79.0,83.0,77.0,93.0,88.0,8.6,79.0,70.4,84.0
four_coarse_clustered_seed1_k20,clustered,6,23,雲 / cloud (23),"8,13,48,58,90,23",32.0,0.0,0.0,0.0,0.0,0.0,59.0,87.0,86.0,85.0,73.0,64.0,86.0,64.0,63.0,80.0,81.0,78.0,93.0,88.0,6.4,63.4,70.0,84.0
four_coarse_clustered_seed1_k20,clustered,7,33,森林 / forest (33),"8,13,48,58,90,23,33",31.0,0.0,1.0,0.0,0.0,0.0,0.0,86.0,86.0,86.0,73.0,65.0,88.0,67.0,66.0,79.0,82.0,78.0,93.0,89.0,6.4,51.6,71.8,84.2
four_coarse_clustered_seed1_k20,clustered,8,49,山 / mountain (49),"8,13,48,58,90,23,33,49",49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,82.0,75.0,64.0,86.0,66.0,64.0,81.0,83.0,76.0,94.0,88.0,9.8,33.6,71.0,84.4
four_coarse_clustered_seed1_k20,clustered,9,60,平原 / plain (60),"8,13,48,58,90,23,33,49,60",44.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,92.0,74.0,63.0,88.0,67.0,64.0,80.0,82.0,79.0,95.0,88.0,9.6,18.4,71.2,84.8
four_coarse_clustered_seed1_k20,clustered,10,71,海 / sea (71),"8,13,48,58,90,23,33,49,60,71",43.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,67.0,87.0,65.0,65.0,81.0,84.0,79.0,93.0,89.0,9.8,0.0,71.4,85.2
four_coarse_clustered_seed1_k20,clustered,11,15,駱駝 / camel (15),"8,13,48,58,90,23,33,49,60,71,15",41.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,86.0,63.0,65.0,80.0,81.0,78.0,95.0,89.0,10.2,0.0,56.2,84.6
four_coarse_clustered_seed1_k20,clustered,12,19,牛 / cattle (19),"8,13,48,58,90,23,33,49,60,71,15,19",35.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,69.0,66.0,81.0,84.0,78.0,96.0,89.0,8.8,0.0,44.2,85.6
four_coarse_clustered_seed1_k20,clustered,13,21,黑猩猩 / chimpanzee (21),"8,13,48,58,90,23,33,49,60,71,15,19,21",31.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,65.0,81.0,83.0,79.0,97.0,90.0,8.0,0.0,27.4,86.0
four_coarse_clustered_seed1_k20,clustered,14,31,大象 / elephant (31),"8,13,48,58,90,23,33,49,60,71,15,19,21,31",32.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,81.0,83.0,79.0,97.0,88.0,9.0,0.2,12.6,85.6
four_coarse_clustered_seed1_k20,clustered,15,38,袋鼠 / kangaroo (38),"8,13,48,58,90,23,33,49,60,71,15,19,21,31,38",41.0,0.0,10.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,81.0,84.0,78.0,97.0,88.0,10.6,0.8,0.2,85.6
four_coarse_clustered_seed1_k20,clustered,16,12,橋 / bridge (12),"8,13,48,58,90,23,33,49,60,71,15,19,21,31,38,12",44.0,0.0,16.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,83.0,79.0,96.0,88.0,12.8,0.4,0.4,69.2
four_coarse_clustered_seed1_k20,clustered,17,17,城堡 / castle (17),"8,13,48,58,90,23,33,49,60,71,15,19,21,31,38,12,17",31.0,0.0,13.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,77.0,96.0,90.0,9.2,0.2,0.8,52.6
four_coarse_clustered_seed1_k20,clustered,18,37,房子 / house (37),"8,13,48,58,90,23,33,49,60,71,15,19,21,31,38,12,17,37",39.0,0.0,12.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,97.0,91.0,10.8,1.0,1.2,37.6
four_coarse_clustered_seed1_k20,clustered,19,68,道路 / road (68),"8,13,48,58,90,23,33,49,60,71,15,19,21,31,38,12,17,37,68",38.0,0.0,15.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,90.0,11.0,0.8,1.8,18.0
four_coarse_clustered_seed1_k20,clustered,20,76,摩天大樓 / skyscraper (76),"8,13,48,58,90,23,33,49,60,71,15,19,21,31,38,12,17,37,68,76",23.0,0.0,16.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.4,0.6,3.4,0.2
four_coarse_interleaved_seed1_k20,interleaved,1,8,腳踏車 / bicycle (8),8,0.0,66.0,91.0,86.0,82.0,81.0,60.0,83.0,86.0,78.0,76.0,65.0,85.0,65.0,62.0,79.0,80.0,76.0,94.0,90.0,65.0,77.6,70.6,83.8
four_coarse_interleaved_seed1_k20,interleaved,2,23,雲 / cloud (23),"8,23",0.0,65.0,94.0,86.0,85.0,0.0,58.0,84.0,85.0,82.0,72.0,63.0,86.0,64.0,65.0,80.0,80.0,78.0,93.0,88.0,66.0,61.8,70.0,83.8
four_coarse_interleaved_seed1_k20,interleaved,3,15,駱駝 / camel (15),"8,23,15",7.0,69.0,93.0,87.0,86.0,0.0,55.0,82.0,85.0,84.0,0.0,66.0,86.0,67.0,61.0,78.0,77.0,77.0,94.0,90.0,68.4,61.2,56.0,83.2
four_coarse_interleaved_seed1_k20,interleaved,4,12,橋 / bridge (12),"8,23,15,12",31.0,65.0,93.0,86.0,80.0,0.0,61.0,83.0,86.0,84.0,0.0,65.0,84.0,71.0,69.0,0.0,84.0,77.0,93.0,88.0,71.0,62.8,57.8,68.4
four_coarse_interleaved_seed1_k20,interleaved,5,13,公車 / bus (13),"8,23,15,12,13",31.0,0.0,95.0,90.0,82.0,0.0,60.0,86.0,83.0,83.0,0.0,68.0,84.0,70.0,66.0,0.0,81.0,78.0,94.0,87.0,59.6,62.4,57.6,68.0
four_coarse_interleaved_seed1_k20,interleaved,6,33,森林 / forest (33),"8,23,15,12,13,33",21.0,0.0,94.0,85.0,86.0,0.0,0.0,84.0,86.0,84.0,0.0,71.0,89.0,68.0,66.0,0.0,81.0,76.0,94.0,88.0,57.2,50.8,58.8,67.8
four_coarse_interleaved_seed1_k20,interleaved,7,19,牛 / cattle (19),"8,23,15,12,13,33,19",21.0,0.0,96.0,87.0,86.0,0.0,0.0,85.0,85.0,84.0,0.0,0.0,90.0,70.0,65.0,0.0,80.0,79.0,95.0,88.0,58.0,50.8,45.0,68.4
four_coarse_interleaved_seed1_k20,interleaved,8,17,城堡 / castle (17),"8,23,15,12,13,33,19,17",23.0,0.0,94.0,89.0,85.0,0.0,0.0,84.0,86.0,84.0,2.0,0.0,88.0,69.0,66.0,0.0,0.0,73.0,94.0,86.0,58.2,50.8,45.0,50.6
